,Char,Team,Batting Pos.,Hits,At Bats,Singles,Doubles,Triples,Homeruns,Total Bases,RBIs,Walks Taken,Sac Flys,Plate Appearances,Steals,Runs,Big Plays,IP,Earned Runs,K's,Walks Pitched,Hits Allowed,Wins,Pitches,Star Pitches
0,Paratroopa(G) 1,Buffcat,0,2,4,1,1,0,0,3,0,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
1,DK 1,Buffcat,1,0,4,0,0,0,0,0,0,0,0,4,0,0,0,4.333333,8,4,0,14,0,55,0
2,Shy Guy(B) 1,Buffcat,2,2,4,2,0,0,0,2,0,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
3,DK 2,Buffcat,3,2,3,1,0,0,1,5,3,0,0,3,0,2,1,0.0,0,0,0,0,0,0,0
4,Birdo 1,Buffcat,4,3,3,2,1,0,0,4,0,0,0,3,0,0,2,0.0,0,0,0,0,0,0,0
5,Shy Guy(Y) 1,Buffcat,5,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
6,Luigi 1,Buffcat,6,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0,0,0,0,0,0,0
7,Paratroopa(R) 1,Buffcat,7,1,3,1,0,0,0,1,1,0,0,3,0,0,0,1.666667,3,0,0,3,0,15,0
8,Diddy 1,Buffcat,8,1,3,1,0,0,0,1,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
9,Noki(G) 1,Hellzhero,0,2,4,2,0,0,0,2,0,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
10,Bro(B) 1,Hellzhero,1,2,4,2,0,0,0,2,0,0,0,4,0,2,0,0.0,0,0,0,0,0,0,0
11,Magikoopa(R) 1,Hellzhero,2,4,4,4,0,0,0,4,2,0,0,4,0,2,0,0.0,0,0,0,0,0,0,0
12,Peach 1,Hellzhero,3,4,4,3,0,0,1,7,3,0,0,4,0,2,0,0.0,0,0,0,0,0,0,0
13,Daisy 1,Hellzhero,4,1,4,1,0,0,0,1,1,0,0,4,0,1,1,0.0,0,0,0,0,0,0,0
14,Daisy 2,Hellzhero,5,1,4,1,0,0,0,1,1,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
15,Toadette 1,Hellzhero,6,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,0
16,Koopa(R) 1,Hellzhero,7,1,3,0,0,0,1,4,4,0,0,3,0,1,0,6.666667,4,11,0,11,0,99,0
17,Baby Mario 1,Hellzhero,8,2,3,2,0,0,0,2,0,0,0,3,0,1,0,0.0,0,0,0,0,0,0,0
18,Dry Bones(G) 1,Bmills,0,2,4,2,0,0,0,2,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,0
19,Bowser 1,Bmills,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
20,Magikoopa(Y) 1,Bmills,2,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0,0,0,0,0,0,0
21,Boo 1,Bmills,3,0,3,0,0,0,0,0,0,0,0,3,0,0,1,6.0,6,2,1,13,0,43,0
22,Wario 1,Bmills,4,3,3,2,0,0,1,6,1,0,0,3,0,2,1,0.0,0,0,0,0,0,0,0
23,Wario 2,Bmills,5,1,3,1,0,0,0,1,0,0,0,3,0,1,1,0.0,0,0,0,0,0,0,0
24,Noki(B) 1,Bmills,6,1,3,1,0,0,0,1,0,0,0,3,0,1,1,0.0,0,0,0,0,0,0,0
25,Pianta(Y) 1,Bmills,7,1,3,1,0,0,0,1,1,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
26,Bowser Jr 1,Bmills,8,1,3,1,0,0,0,1,2,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
